BusinessType,BusinessIndustry
Janitorial Services,"Administrative and support, waste management and remediation services"
Office,"Professional, scientific and technical services"
Plumber,Other services (except public administration)
Retail Dealer,Retail trade
Wholesale  Dealer,Wholesale trade
Acupuncturist *Historic*,Health care and social assistance
Adult Entertainment Store,"Arts, entertainment and recreation"
Animal Clinic/Hospital,"Professional, scientific and technical services"
Animal Services,"Professional, scientific and technical services"
Apartment House,Real estate and rental and leasing
Apartment House Strata,Real estate and rental and leasing
Arcade,"Arts, entertainment and recreation"
Artist,"Arts, entertainment and recreation"
Assembly Hall,Real estate and rental and leasing
Auctioneer,"Administrative and support, waste management and remediation services"
Auto Dealer,Retail trade
Auto Detailing,Other services (except public administration)
Auto Painter & Body Shop,Other services (except public administration)
Auto Parking Lot/Parkade,Other services (except public administration)
Auto Repairs,Other services (except public administration)
Auto Washer,Other services (except public administration)
Auto Wholesaler,Wholesale trade
Backyard Pay Parking,Other services (except public administration)
Beauty Services,Other services (except public administration)
Bed and Breakfast,Accommodation and food services
Billiard Room Keeper,"Arts, entertainment and recreation"
Blueprint Printing *Historic*,Manufacturing
Boat Charter Services,Transportation and warehousing
Body Rub Parlour *Historic*,Other services (except public administration)
Booking Agency,"Administrative and support, waste management and remediation services"
Boot & Shoe Repairs,Other services (except public administration)
Bottle Depot *Historic*,"Administrative and support, waste management and remediation services"
Bowling Alley,"Arts, entertainment and recreation"
CNIB Concession - Food,Accommodation and food services
Cabaret *Historic*,"Arts, entertainment and recreation"
Card Lock Station *Historic*,Retail trade
Carpet/Upholstery Cleaner,"Administrative and support, waste management and remediation services"
Casino,"Arts, entertainment and recreation"
Caterer,Accommodation and food services
Cheque Cashing *Historic*,Finance and insurance
Chimney Sweep,"Administrative and support, waste management and remediation services"
Club,"Arts, entertainment and recreation"
Club Manager *Historic*,"Arts, entertainment and recreation"
Community Association,Other services (except public administration)
Community Association Manager *Historic*,"Arts, entertainment and recreation"
Computer Services,"Professional, scientific and technical services"
Contractor,Construction
Contractor - Special Trades,Construction
Conventional Gas Station *Historic*,Retail trade
Dairy Delivery Services,Other services (except public administration)
Dance Hall,Real estate and rental and leasing
Dating Services,Other services (except public administration)
Dining Lounge/Room *Historic*,Accommodation and food services
Dry Cleaner,Other services (except public administration)
Duplex,Real estate and rental and leasing
Educational,Educational services
Electrical Contractor,Construction
Electrical-Security Alarm Installation,Construction
Electrical-Temporary (Filming),Construction
Electrolysis  *Historic*,Other services (except public administration)
Employment Agency,"Administrative and support, waste management and remediation services"
Entertainment Services,"Arts, entertainment and recreation"
Equipment Operator,Real estate and rental and leasing
Esthetician *Historic*,Other services (except public administration)
Exhibitions/Shows/Concerts,Real estate and rental and leasing
Family Sports & Entertain Ctr,"Arts, entertainment and recreation"
Financial Services,Finance and insurance
Fitness Centre,"Arts, entertainment and recreation"
Food Processing,Manufacturing
Funeral Services,Other services (except public administration)
Gas Contractor,Construction
Gas Station - Marine *Historic*,Retail trade
Hairdresser *Historic*,Other services (except public administration)
Hairdressing Salon *Historic*,Other services (except public administration)
Health Services,Health care and social assistance
Health and Beauty,Other services (except public administration)
Herbalist *Historic*,Health care and social assistance
Homecraft,Other services (except public administration)
Hotel,Accommodation and food services
Instruction,Educational services
Jeweller,Retail trade
Junk Dealer,"Administrative and support, waste management and remediation services"
Laboratory,Health care and social assistance
Landscape Gardener,Other services (except public administration)
Laundry (w/equipment),Other services (except public administration)
Laundry Depot,Other services (except public administration)
Laundry-Coin Operated Services,Other services (except public administration)
Liquor Delivery Services,Transportation and warehousing
Live-aboards,Real estate and rental and leasing
Livery & Feed Stables,"Arts, entertainment and recreation"
Locksmith,"Administrative and support, waste management and remediation services"
"""Lounge 'A' *Historic*",Accommodation and food services
Ltd Service Food Establishment,Accommodation and food services
Lumber Yard,Wholesale trade
Machinery Dealer,Retail trade
Manufacturer,Manufacturing
Manufacturer - Food,Manufacturing
Marina Operator,"Arts, entertainment and recreation"
Marine Services,Transportation and warehousing
Massage Therapist,Other services (except public administration)
Model Agency,"Arts, entertainment and recreation"
Moving/Transfer Service,Transportation and warehousing
Multiple Dwelling,Real estate and rental and leasing
Neighbourhood Pub *Historic*,Accommodation and food services
Non-profit Housing,Real estate and rental and leasing
One-Family Dwelling,Real estate and rental and leasing
Painter,Other services (except public administration)
